tweet,index,truncated,Language,username
"Bored Ape Yacht Club recent sales stats.

#NFT #BAYC #BoredApeYC #NFTCommunity #NFTProject #NFTdrop #NFTCollection… https://t.co/GfMQ1oy92H",21,True,en,botrocket_io
"RT @theodora_tomova: 🎁 #NFTGiveaway 🤩
To celebrate OWN's #NFT Sneakpeek, they are giving away :
🔥1 NFT
🎊5 WL

TO ENTER ⬇️
1️⃣ Follow @OWNcr…",22,False,en,PutraOxWin
To the Mars #BEAM #eth #nft) &amp; @yorkshift,23,False,en,Dega_anja
"RT @OreoNFT: 🎉Huge Giveaway🎉 

Prizes 🎁: 2 ETH (split among 8 winners) &amp; 50 WL spots

To Enter:
✅Follow @metacivies 
✅Like, RT, &amp; Tag 3 fri…",24,False,en,Frisila_bigwin
"RT @Artkit_art: Breaking news

ArtKit is developing an Instagram-like social media that NFT will power. The platform will be used like any…",25,False,en,nabil0198
"RT @tacton_art: GMです！今日から新年度✨
NFTアート購入を始めて2ヶ月で既に3ETHほど。今後もライフワーク的に100ETHくらいは買っていきます！🔥
(長年かければそれくらいにはなるはず！)

良いと思ったら有名かどうか関係なく集めていきますので、ぜひフォ…",26,False,ja,Aueaohe
"RT @kashooji_MAGIC: 年初からArbitrum OneのNFTのユーザーは205%の伸びを記録してます。

Arbitrum Oneの中で、Treasure MarketplaceはNFTの最大のマーケットプレイスで、約97%のシェアを占めてるみたいです。",27,False,ja,CyT1JT13jiiZRWe
"@Chainbro22 My Frida Kahlo_
Check out this item on OpenSea https://t.co/seRpTmSDYz via @opensea 
#nft #nftart… https://t.co/ZVSL4AtARH",28,True,en,JiaMadame
"RT @ketrin_harr: Space Marvel, where players collect #NFTs to form their own virtual universes, is running a #Airdrop campaign. Check it ou…",29,False,en,Just__NFTs
"RT @BoozeBears: 🐻Booze Bears x Voxels NFT👻

Giveaway for a Free Mint from Voxels 🔥

Enter 👇🏼
1️⃣ Follow @BoozeBears and @Voxels_NFT
2️⃣ Ret…",30,False,en,bloomdropvoxel
"RT @100bviking: @RealFlokiInu @kucoincom My vote goes for #FLOKI, the people's cryptocurrencies.

It has:

- 400,000+ holders
- Strong fund…",31,False,en,DeastViking
"RT @dwarrior_d: THE LONGER YOU HOLD, THE GREATER YOUR PROFITS WILL BE.

👽https://t.co/bMiUA11x0z 
🪐https://t.co/EGVs54eUI8

@Marvin_Inu  #m…",32,False,en,major_700
"RT @ladyincrypto: ⚠️ @BopoVerse #Minting is LIVE! ⚠️

Claim your special Pre-sale Price 💸 and MINT your Rare NFT now 🔥

Link - https://t.co…",33,False,en,HamdyShaea
"RT @BobbsNFT: 🐉🔮🇿

1600 cute &amp; nostalgic #NFT ❤️

✨Top notch art
💪Great team
👨‍👨‍👧‍👧Community-driven

Giving away 10 WL to lucky people tha…",34,False,en,pickmejjk
@TelefyConnect Coow NFT is a series of 10000 cow pfp generated by an artistic algorithm.… https://t.co/3l4QlrOITr,35,True,en,ElvisSilas5
"Top cryptocurrency prices today: Bitcoin, Dogecoin, Ethereum, Shiba Inu fall up to 10% - Economic Times… https://t.co/40sxybMKdf",36,True,en,davidpremier
RT @Bybit_Official: When every day in #crypto is April fool's day ... gg frens https://t.co/cTrMfuOVvm,37,False,en,viveksingh8790
"Qenetex Wallet
🔐 Non-custodial solutions
🎯 Exchange Search Engine
💳 Like a bank, but crypto App",38,False,en,BolajiDavidAki2
"RT @Nafty_Official: Nafty Angels #NFT Giveaway! 🎁

We’re giving away 
1 NFT + 20 WHITELIST (Result in 48h)🔥

To enter: 
-Like and Retweet 💜…",39,False,en,DarkJujisnim
"RT @PhysisVerse: 'You, Beyond' - Part III / Premiere is moving to coincide with Permissionless, the largest Metaverse and DeFi event in his…",40,False,en,batman0383
"RT @dwarrior_d: Well, $Marvin is working on a project

#MarvinInu mission is to disprove your claim that #crypto is  the hardest way to gai…",41,False,en,major_700
"RT @AirdropStario: 💧 FatherDefi Airdrop 💧

🏆 Task:   ➕ $10 worth of ANDRE for 900 random participants

👨‍👩‍👧 Referral: ➕ $10 worth of ANDRE…",42,False,en,Schibukai87
"RT @SomthingNFT: Let's do something different! probably 😉

For every 100 comment / RT
We will giving away 5x whitelist 🧧

Sounds great?
⬇️…",43,False,en,EthLoyal
Promote it on @Emergiingnft,44,False,en,ogfuvally
"Top cryptocurrency prices today: Bitcoin, Dogecoin, Ethereum, Shiba Inu fall up to 10% - Economic Times… https://t.co/mGuiSxoOUD",45,True,en,cryptscp
"RT @loungeloversnft: 💗ATTENTION LOVERS💗

MINT will take place TOMORROW so we are giving away 1 NFT to someone in the chat in the next 4 Hou…",46,False,en,BIGWINJUSKOLUCK
"RT @koolk123456: ⚡️FLASH GIVEAWAY!⚡️

📅MINTING LIVE  
📌Project - @TinyDogzNFT 

Prizes:
🏆1X- NFT 

To enter:
1⃣Follow - @TinyDogzNFT
2⃣RT+…",47,False,en,scottglover
"RT @renz_NFT: ✨ SOULLESS SOCIETY ✨

★ Citizen #064-069 (5 Common, 1 Epic)
★ Drop Sat 02/04, 7PM (GMT+7)
★ 0.007-0.015 Polygon
★ https://t.c…",48,False,en,raareepaa
"RT @BoaTrading: Biggest #Bitcoin portfolio’s

$RIOT Bitcoin Reserves: 1,175 BTC
$COIN Bitcoin Reserves: 4,483 BTC
$HUT Bitcoin Reserves: 4,…",49,False,en,dani2160458
"RT @Kuroki_NFT: 🔥 Discord opening in 2 days 🔥

Any interactions will raffled to get both:
▫️ Kizoku List (WL) 🀄️
▫️ Discord Invite 🎟️

- Ta…",50,False,en,bardana01
How do I get away from crypto Twitter?,51,False,en,jayhoul
"RT @TankMetaverse: #partnership🔥🔥🔥

@TankMetaverse will host some of @NFT4Play events, bringing sports and #fantasy to battles in #Tankpoli…",52,False,en,mswim86
"RT @Candle_NFT: 🍄Enlightened Stoner Ape Club #NFTs 
3 ESAC NFTs + 0.1 ETH  ($330) #ETH

1️⃣Follow @ESapeclub
2️⃣RT, Like 
3️⃣tag 3 friends!…",53,False,en,misskyuapril
Promote it on @NftEliteClub,54,False,en,billkill88999
"Top #cryptocurrencypricestoday: #Bitcoin, #Dogecoin, #Ethereum, #ShibaInu fall up to 10% - Economic Times: Top… https://t.co/eQuHxvHYyv",55,True,en,JourneyTrade
"RT @eduardosurita: Very bullish on this project @RigelNfts 

Check it! and get WL now !!!

https://t.co/IY2LSjO6qX",56,False,en,BarkJoker
"RT @CryptoTownEU: 🚀 Airdrop: LumiGhost
💰 Value: 1000 $LUMIGHOST
👥 Referral: 5000 $LUMIGHOST
📅 End Date: 21st April, 2022
🏦 Distribution Dat…",57,False,en,MdHusen07511779
"📈 Dollar Up, Resumes Rally Against Yen Ahead of U.S. Jobs Report By https://t.co/tDdXMTOCHg 📉

By @CraftyFin… https://t.co/xmSoFgiupb",58,True,en,EconomySquare
I heard some panelists at #NFTLA have never bought an NFT and are so excited to one day buy their first one -_-,59,False,en,DiceDominga
"RT @TheNFTCircle: We are excited to be giving away 5 WL spots to @MindblowonNFT

To be eligible you must:
✅Like &amp; Retweet
✅Tag 3 Friends
✅F…",60,False,en,tkategritz
"RT @Play_Ukiyo: ⚔️ Ukiyo X Gummies Gang 🍭

We have teamed up with Gummies Gang to give away:
3x #Whitelist spots for Ukiyo
3x #Whitelist sp…",61,False,en,isadorwollinu07
"RT @DrDebFurrHolden: To celebrate the launch of the Something Official Azuki airdrop, we have decided to open it up to all active NFT colle…",62,False,en,AwanB0RNE0
"01/04/2022 #Cryptocurrency Tamil news | ...

https://t.co/PgfrIC442V

#BitcoinNewsTamil #BitcoinNewsTodayTamil… https://t.co/ZbZBARBSDU",63,True,in,bocvip
Quantum Computers Not a Threat to Bitcoin: MIT Review : https://t.co/LB54HaKybu https://t.co/rspgkxJbrP,64,False,en,ButterLemonBot
"RT @NFT_HallofFame: The Ferrari 250 GTO goes —-miles an hour but somehow a Karto Car is still faster!

Have you heard of @KartoCars ?
🚘 10,…",65,False,en,IkonRoute
"RT @missufe: $200 | 2.800.000 IDR in 24 Hours 🦄

- $100 👉🏻 RT &amp; Follow @thelottonft + RT, Like Quoted Tweet 👇🏻

- $100 Bonus 👉🏻 Join Discor…",66,False,en,hyureux
Check out this item on OpenSea https://t.co/LEeBSoSQOY via @opensea #nft #nftart  #digitalart #nfts #nftartist… https://t.co/0aUA6KL4K7,67,True,en,EDU_CULLINAN
"RT @CarfuelFinance: Our #Carfuel community has passed 3000+ followers in 1 day. Thank you everyone, we are just at the beginning of the roa…",68,False,en,Arrienug
"RT @Dragonsview99: #AmeruDAO 🔐
Buy here: https://t.co/8RO7JpX9MU 

https://t.co/JyMLcVPEXU
#BSC Contract 
0xa0ad976e66518c8fd92021c027c531c…",69,False,es,Instanyx
"RT @FinanceCarp: 📣 CARP FINANCE Airdrop is live!

🏆 Reward for Tasks:   Up to 30 ACARP (~$43,5)

👨‍👩‍👧 Referral Reward:     10 ACARP (~$14,…",70,False,en,Shakib098765
"RT @Nafwyd: $235,000 (ETH | TOKEN | WHITELIST) Giveaway! 🎉

Introducing @WomenUniteNFT Next Collection! (Their last mint 100X’d) 🚀

To Ente…",71,False,en,KingBradley_I
"RT @CarterFNL: Ever dreamed of having a land on Mars? Now it's your chance to become a martian! 👨‍🚀
@Mars4_me world's first revenue-generat…",72,False,en,pickachwu
@albertnft3 https://t.co/BnZAGYpHE3,73,False,und,JennaMa53105951
"RT @Metanevolution: 🌟By getting NFT chests on INO event and receiving NFT Heroes, you will have opportunity to earn in multiple ways. 

⚡️A…",74,False,en,kekariwinx
"RT @AirdropStario: 💧 Pumped Airdrop 💧

📍 Listed on: DEXTools

🏆 Task: ➕ 100 PUMPED (~$4) for 250 random participants

👨‍👩‍👧 Referral: ➕ 250…",75,False,en,ChiFavy93
"RT @zaeNFT: 🚨 NEXT BIG PROJECT 🚨

Found this project @Moondusa , spoke to the owner and your not gonna wanna miss out! 🚀

🔸WHITE PAPER RELE…",76,False,en,ArchesNFT
"RT @JuicyFruityyy: FN SKELETON KNIFE SLAUGHTER GIVEAWAY! 
($850)
*cannot be exchanged for crypto*

To Enter:

-RT
-Like this video:
https:/…",77,False,en,thegoatheree
Digitale Fan-Token: Weltfußballer Messi wechselt in die Kryptowelt und wird NFT-Botschafter https://t.co/MJwFnPDdOF,78,False,de,Busines65959783
"@EpikNFT let's play fara and enjoy..it's awesome..i love fara
#Faraland #FARA #VietnamBlockchainExpoverse #BSC #NFT… https://t.co/Ld9oIUrfeR",79,True,en,kimduyanh
"RT @MrNFTexpert: 🥳NFT GIVEAWAY 🥳

🏆10x Sad man NFT WL spots

👀Rules-

1️⃣ Follow 
@SadManNFT 

2️⃣ RT, LIKE

3️⃣ Tag 3 friends

4️⃣ Join Di…",80,False,en,unjunieomma
"RT @metararity: 🎁 #Giveaway 🎁

We've partnered with @KiraverseNFT 

$400 (4x $100) #ETH or #Solana
5x KIRA Whitelist Spots!

To Enter:
1⃣Jo…",81,False,en,ombleux
RT @Net_Haber_: 🔥 Kripto para madenciliği doğalgaz üzerinden gerçekleşecek: Son zamanlarda iyice popüler hale gelen kripto para madenciliği…,82,False,tr,TR__Gundem
"RT @missufe: $200 | 2.800.000 IDR in 24 Hours 🦄

- $100 👉🏻 RT &amp; Follow @thelottonft + RT, Like Quoted Tweet 👇🏻

- $100 Bonus 👉🏻 Join Discor…",83,False,en,yejiwinsx26
"RT @BlockSafu: BlockSAFU (BSAFU) Airdrop 
Total Rewards : 20,000,000 BSAFU 
Winners : 1,000 Random &amp; 10 Top Referrers 
Rate : ⭐️⭐️⭐️⭐️
End…",84,False,de,sanimun_islam
"This is a fantastic initiative with a lot of promise. The devotion and brilliance of the team, together with outsta… https://t.co/UGivxoM5WR",85,True,en,A2Abir20
"RT @AirdropDet: 🔍 New #Airdrop: Pets Of Elon 

💲 Reward: Up to 1,250 POE (~$35) + 2M POE (~$56K) referral pool

🔴 Start the airdrop bot htt…",86,False,en,Gory1922
#XRP is better than #Bitcoin whether you like it or not https://t.co/Z0J2zbOP7c,87,False,en,e2wrMI1oFjqdmop
"RT @BruceJust2: @Bitcoinomist @seer_of_reality $KNDX
    https://t.co/7QY7TvIsaF",88,False,en,BruceJust2
"NFT whale monitoring by @MetaApesClub
3Landers #7108 bought for Ξ1.45 ($4,931.46) By 0xc1656e From 0x901cf0
Avg Pri… https://t.co/JL1QwZwfWK",89,True,en,AldrichRoger2
"RT @missufe: $200 | 2.800.000 IDR in 24 Hours 🦄

- $100 👉🏻 RT &amp; Follow @thelottonft + RT, Like Quoted Tweet 👇🏻

- $100 Bonus 👉🏻 Join Discor…",90,False,en,yriaaaaaa
"RT @diginoor_NFT: SPB’s signs off his last song in style with the release of his last musical piece as an #NFT !!

The #NonFungibleSPB will…",91,False,en,Sayed_FerozShah
"@jf_nft @holyfield #1000xGem #ETH $MSHIBA

Join the Telegram Community Now!
https://t.co/IzEOUXQ8Y3

MSHIBA is revo… https://t.co/uGa5EC7FkB",92,True,en,LionCecel
@_NftCollectors @cybotz_nft https://t.co/Ym0C6tqrSV,93,False,und,ZybraProject
"RT @TheApeList_: 🎉 3 WL GIVEAWAY 🎉

Mindblowon known as @tahilalats is an up-coming project that has collaborated with big brands and artis…",94,False,en,jJiggoG
日本生まれNFTゲームギルド「Samurai Guild Games」登場！ “Play to Earn” ゲームでお金を獲得し人生にワクワクを。 - PR TIMES https://t.co/EckPRe0Kz2 #NFT,95,False,ja,nft_blockchain
"@DJWarrenYoung @Cointelegraph Everyone has to see this about Bitcoin script before it’s too late.
https://t.co/J16iRPAyKT",96,False,en,Thes_skl
"I really wondering for this community my dear friend. I hope you will join.
@Sakhawat82 @afranofficial75… https://t.co/zJE9pquvyj",97,True,en,nishoafran910
"RT @LilDreamerz: ✨ WL Giveaway ✨
We are giving 10 WL spots for @TheRandomsNFT

✨ Follow @TheRandomsNFT &amp; @LilDreamerz
✨Like &amp; RT
✨Tag 3 Ran…",98,False,en,NStyle0
@cryptocom 🌐 First LIVE Dapp: CylumNFT where anyone can launch their NFT Games using Unity on Cylum &amp; #BSC and soon… https://t.co/YAjVriwTwB,99,True,en,amalfatima102
"RT @Thera_Pro_Token: Thera Pro is the new feel token, where people will be able to touch, feel, and much more. 

Keep track to start this i…",100,False,en,abnerbeijamim95
"@Mobin33451262 ,@horsx_nft ,@Bull100X",101,False,und,Fariba2990
"RT @NonFungies: Spacegate Pass WL giveaway (x5)🥳

All in one NFT alpha tool🔥

To enter:
1️⃣Like &amp; RT
2️⃣Follow @Spacegate_NFT &amp; @NonFungies…",102,False,en,J_Baker_1987
"RT @unchartedUNC: ⛵️ 5000 Uncharted NFT GIVEAWAY ⚡ 🚀

🦄 Each NFT worth $100!
🤩 5,000 Random Winners!

🏆 Join Uncharted Mystery Box sales on…",103,False,en,ainaotatnhacday
"RT @FundingGym: @GeorgeGammon @theRealKiyosaki 
I would love to see @RichardHeartWin as guest on your programs. There is no more knowledgea…",104,False,en,JacksSmirkReven
"@gemhostofficial Name :Smarty Pay (SPY) - BSC

✨Listing &amp; Launching Project:
💠Audit Techrate✅
💠DIGIASSET✅
💠HOTBIT✅… https://t.co/BpeiTFTEC3",105,True,en,MKawirkhan
RT @TheBullishTradR: Where y’all at !? It’s only Thursday🤪#NFT #DegenSpaceHost https://t.co/aGQw4O5QPA,106,False,en,ElementalGhouls
@Cfunk69420 @shift_token @elonmusk @MoonsunCrypto @iambroots @JakeGagain @henokcrypto @ketpahty @CryptoKaren888… https://t.co/0VXKvU2MoV,107,True,en,ShinjaWarrior
"RT @LambdaGen: 🚨 HUGE ANNOUNCEMENT 🚨

We're extremely excited to launch our latest venture - the LambdaGeneration LFT Store.

Buy and trade…",108,False,en,NERROIDSEVEN
"RT @CryptoGorillaYT: 🎉 Giving away 3 WL spots for @nanoverseHQ phase 2 🎉 

To qualify:

- Follow @nanoverseHQ &amp; @CryptoGorillaYT 
- Like &amp;…",109,False,en,GorgeousUnique7
"RT @hefeifan119: NFT常用工具类，转发收藏
NFT排名平台，浏览器稀缺插件：https://t.co/R8WLraCas5
NFT二级市场热点追踪：https://t.co/qRDCkAun9j
NFT新项目热度排行：https://t.co/1fLygM4h…",110,False,zh,ahroy_10
"@TomBilmore @omega_alpha_nft This is the exchange every trader needs. You can trade all Crypto, Forex, Commodities,… https://t.co/8YThZpAp5c",111,True,en,parseh1356223
RT @HYSSGlobal: RAID THIS TWEET GUYSS!!!!,112,False,en,jhimlook
"RT @oasys_games: ⭐️The Oasys Discord is Officially Open!⭐️
https://t.co/CMd6BFgura

To celebrate the launch,  our awesome partner @mycrypto…",113,False,en,Beerkatt1
"@bitcoin_nj MEME + UTILITY + CHARITY 
Drover Inu is a next generation community driven metaverse, gamefi and NFT de… https://t.co/gemRw93qVe",114,True,en,bebeshark333
RT @Sadiyamim57: #DeFi #TeleFy #DEX #cryptocurrency #Ethereum #BinanceSmartChain #Bitcoin #Airdrop #polkadot #MATIC #Polygon $TELE #Cardano…,115,False,pt,CheffWallets
"RT @crypto60sec: Breaking: Bitcoin whale has transfered 4,000 BTC from Gemini to Coinbase #Bitcoin 

https://t.co/sG0JacR1hO",116,False,en,Psnshihab1
Middle East is onto Crypto! Expect great advancements and popularity in the crypto game.,117,False,en,breadfactoryyy
"RT @giorgianza: And drumroll… 🥁🥁🥁

…today I officially started collecting! 
Now I’m a #tezos collector.  (Applause) 👏🏻🥲🤣

It’s game time! 💃…",118,False,en,aquamariart
"@Steampad a big project for a great future, this is going to be a great project of the century. I'm sure it will be… https://t.co/T15BTRScIz",119,True,en,NoyonRo96932400
"RT @loungeloversnft: 💗ATTENTION LOVERS💗

MINT will take place TOMORROW so we are giving away 1 NFT to someone in the chat in the next 4 Hou…",120,False,en,01mmsnx
"RT @BruceJust2: @drop__nft @Appz35903051 $KNDX
    https://t.co/7QY7TvIsaF",121,False,en,BruceJust2
"RT @TheCavemenClub: Construction is complete! We are proud to announce that @TheCavemenClub finally has a home in Aurora, @metavillageNFT's…",122,False,en,BunnyEarys
"なかなか手に入らない🚀🚀🚀
BoomboomMonstersが
今なら1次販売で購入できるチャンス
皆様、お急ぎください😆😆😆
もう売り切れてるかも🙀🙀🙀🙀",123,False,ja,TENSETV333
"The project seems to have great potential!
Should definitely feature it on @NftCarrier",124,False,en,oscerkrestom1
"RT @HannaButler_: Are you ready !! @Shiryo_Official won an award for ""Best Upcoming Game in Crypto"" at Crypto Expo Dubai 2022 🥇

Buy now an…",125,False,en,leeseoyaaa
RT @TitanXBT: RT AND LIKE THIS TWEET FOR 0.1 $SOL &amp; A FREE #NFT,126,False,en,MorkNFTs
"RT @BruceJust2: @Cryptofam3 @Appz35903051 $KNDX
    https://t.co/7QY7TvIsaF",127,False,en,BruceJust2
"RT @TheSolanaBoss: 🎁 GIVEAWAY 🎁 

🏆  1 $SOL ($125)
🏆1x NFT ($170)
🏆10x WL Spots 

To Enter: 
1⃣Follow @PeacfulProphets &amp; @TheSolanaBoss 
2⃣…",128,False,en,SinisterRage
"RT @CryptoGorillaYT: 🎉 Giving away 3 WL spots for @nanoverseHQ phase 2 🎉 

To qualify:

- Follow @nanoverseHQ &amp; @CryptoGorillaYT 
- Like &amp;…",129,False,en,ChrisHorray
"@elonmusk @XODEXoffical  is a high speed zero fee blockchain with DeFi protocols, NFT projects, and dApps that will… https://t.co/SMXkRi4QnJ",130,True,en,Squidward20_
"RT @CryptoGorillaYT: 🎉 Giving away 3 WL spots for @nanoverseHQ phase 2 🎉 

To qualify:

- Follow @nanoverseHQ &amp; @CryptoGorillaYT 
- Like &amp;…",131,False,en,sherwin_chapman
RT @EverriseMan: #EverRise $RISE #EverRiseV3 #EverRiseEDU #DeFi #Crypto #Cryptocurrency #EverStake #100xgem #EverBridge #EverOwn #EverRiseI…,132,False,en,LoveMyRisez
"RT @necuritynft: Me and 
@MusicBearAwards

 are giving away 10 WL Spots ☑️

To enter:

✅ Follow 
@MusicBearAwards

✅❤️ &amp; RT + Tag 3 friends…",133,False,en,BigWinNeriCityx
"$Aca got BTC crash immunity

Isit vaccinated 👀 
 
#BTC #Dotsama #acausdt #Crypto #cryptocurrency #Bitcoin #altcoins",134,False,en,Jaws758
"RT @zadewtw: 🎉 Partnered with @themafiosoCom to give away x2 Genesis WL NFT for their upcoming game. 🤝

🎁 x2 Genesis WL

TO ENTER:👇🏽
1️⃣ Fo…",135,False,en,Dheaanna71
"There is going to be an extremely violent movement on #Bitcoin / #BTC in a few hours!!!
No magic or voodoo preachin… https://t.co/94YGqPeD4U",136,True,en,CryptoMarilyn1
"RT @OreoNFT: 🎉Huge Giveaway🎉 

Prizes 🎁: 2 ETH (split among 8 winners) &amp; 50 WL spots

To Enter:
✅Follow @metacivies 
✅Like, RT, &amp; Tag 3 fri…",137,False,en,iyamnyami
"RT @SuperApesClub: ⚡️ Super Apes Club x Mutant Shiba Club⚡️
 
We're giving away 1X Mutant Shiba Club NFT to our holders! 🎉
 
To Enter 👇 
-…",138,False,en,ronagomm
RT @VentiSwap_: Next week we will be launching VentiHeadz (80’s Edition). There will only be 5000 VentiHeadz to be minted with 3 rare ones…,139,False,en,eizacelest3
RT @JKShuttlesworth: Tap in ‼️📈,140,False,in,Andyb817
"RT @VioletEmoji_NFT: 🎉#GIVEAWAY🎉

Prizes:
🏆 0.015 = 50$
🏆 5x WL

Rules :
1️⃣ Follow ME + @DragonsMidgard 
2️⃣ Like &amp; RT
3️⃣ Tag Friends

Jo…",141,False,en,erenthw
"RT @zaeNFT: 🚨 NEXT BIG PROJECT 🚨

Found this project @Moondusa , spoke to the owner and your not gonna wanna miss out! 🚀

🔸WHITE PAPER RELE…",142,False,en,winsss1013
"RT @TheLilFrens: 💖 Lil Frens X Nyoki Club ㊗️

we are giving away five (5) whitelist spots from @nyokiclub

to enter
- like &amp; rt 
- follow @…",143,False,en,happykarpp
"RT @Niftycrypt: 🐀PxN WL GIVEAWAY🐀 

1 WL for @projectPXN, courtesy of the team ❤️

How to enter:
🔹Follow @NiftyCrypt, @projectPXN, @EnmakeX…",144,False,en,BriseydaBarriga
"RT @nftengineer: 💫 SOL + #NFTGiveaway 💫

 Prizes :
🏆 3x #NFT ~ $350 💵
🏆 $50 💵 in $SOL

❕ Rules :
1⃣ RT &amp; ❤️
2⃣ Follow ME &amp; @theCollectivNFT…",145,False,en,ChrisSa86933600
"RT @TheLilFrens: 💖 Lil Frens X Nyoki Club ㊗️

we are giving away five (5) whitelist spots from @nyokiclub

to enter
- like &amp; rt 
- follow @…",146,False,en,Tableunstable1
RT @MetaBibo: 做慈善從來義不容辭，30號的AMA說過第一隻抽出來的zombie，我們會將50%收益以Zombie x Bibo名義作台灣捐款用途。上天眷顧，抽到前50排名的。希望這次活動後，讓更多人知道NFT也可以為社會作出貢獻。 https://t.co/4MY…,147,False,zh,Kayne_ja
This is definitely going to be HUGE! As the team has been an inspiration in their innovative approaches towards ach… https://t.co/PmoQDMzZ8N,148,True,en,tohidhasan25
"RT @NFT_HallofFame: The Ferrari 250 GTO goes —-miles an hour but somehow a Karto Car is still faster!

Have you heard of @KartoCars ?
🚘 10,…",149,False,en,sweetestsukkie
"@_NFTsArt @_NftCollectors @cybotz_nft https://t.co/l0woVcyjRT
#nftcollector #NFT",150,False,und,Ibtisam747
"RT @U_UnicornsNFT: Heyyoww Uni-fam! @GummiesGangNFT has teamed up with us and they've given 3 WL spots for the U_U community! 🎉

Here's how…",151,False,en,igeohyeon
@TokenDamo @CryptoArt_Ai @kakanftworld @AtochaProtocol This is a Fantastic project with great potential.The team's… https://t.co/i0yiSk9Gjd,152,True,en,NaimurR30177871
"RT @RoyalOutkasts: We're giving away 2 x NFT's + $100 🤯

Remember, if you're lucky enough to win a rare, you'll also receive 3 BNB as a rew…",153,False,en,izmiwinner
"RT @mikealfred: Asset manager Van Eck says the #Bitcoin price implied by global M0 and M2 is between $1,300,000 and $4,800,000 if it replac…",154,False,en,BBTC89862221
RT @kaiyabunga: What’s the best NFT to get in now that’s under .3 eth floor 👀,155,False,en,lucabluez
